"","zip","objectid","shape_area","shape_len","Case.Rate...Cumulative","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"144","60624",17,99418122.471,40394.4100077,3434.9,2018,36158,3.69,90.85,0.04,0.31,0.08,5.03,5.3,26.14,3276,6034,2693,2935,15257,1913,2200,2032,1524,3922,25134,21212,15.57,67.94,10.85,18.6
"145","60625",5,105830918.023,42524.1104776,2783.8,2018,79243,64.67,4.98,0.13,13.26,0,16.95,32.78,14.91,5981,7852,3952,5325,40692,4847,4392,4116,3788,7575,63423,55848,11.71,68.81,9.56,8.1
"146","60626",1,49170578.9623,33983.9133065,2911.7,2018,49730,59.2,25.27,0.1,5.89,0.01,9.53,20.62,11.82,2553,4765,2937,5056,25875,3295,3051,2713,2447,5031,41428,36397,16.07,66.75,10.12,10.8
"147","60628",43,345241692.171,83748.9919899,2562.8,2018,66724,4.4,93.75,0.07,0.18,0.02,1.58,3.44,14.84,4153,8578,4461,5226,25566,4574,4189,4764,3628,11272,51211,39939,14.52,57.4,16.89,15.9
"148","60629",58,211114779.439,58701.3253749,4852,2018,111850,42.05,19.74,0.28,0.44,0.01,37.49,71.02,28.49,8884,17630,9440,8553,51367,6801,5654,5530,4857,11127,79470,68343,16.09,69.63,9.95,8.2
"149","60630",45,131073763.12,49198.9402832,2303.6,2018,57344,71.48,1.62,0.31,11.43,0,15.16,27.91,11.33,3527,6828,2575,2850,21744,3815,4229,4749,3714,8738,45431,36693,9.46,55.98,15.24,10
"150","60631",41,107117591.88,68289.7515766,2228.3,2018,29529,90.48,1.51,0.1,2.93,0,4.98,10.67,5.84,1875,3430,1049,1073,10388,2208,1994,2133,2032,5469,23544,18075,7.19,53.14,18.52,9.4
"151","60632",56,211755252.573,63253.238669,5084.6,2018,91039,51.75,1.86,1.25,5.68,0.02,39.44,83.96,33.78,7048,15182,7386,6937,41731,5374,4899,4170,3933,8702,64158,55456,15.73,70.26,9.56,6.8
"152","60633",14,187526657.189,59703.2158155,2719.3,2018,12871,70.99,23.21,0.04,0.29,0,5.47,44.98,13,890,1425,1031,842,5176,790,1158,1015,741,1676,10044,8368,14.55,58.2,13.02,8
"153","60634",52,194062612.162,77647.3180069,3366,2018,75995,78.49,2.18,0.44,5.49,0.06,13.34,38.25,12.53,5026,8759,4828,3919,30283,5239,5340,5426,4505,11417,59414,47997,11.51,57.99,15.02,8.7
"154","60636",10,104114706.691,42448.2828439,3400.3,2018,32203,3.96,89.91,0.07,0.04,0,6.01,7.68,21.75,1964,4310,2106,2015,11834,1910,2201,2260,1530,6194,24761,18567,12.8,56.23,19.23,15.8
"155","60637",60,125424284.172,52377.8545408,1953.5,2018,47454,16.18,76.21,0.46,4.49,0,2.66,2.83,13.54,3182,6295,5444,4590,22273,2226,2616,2751,2648,5463,35902,30439,21.14,66.91,11.51,14.5
"156","60638",39,166166339.096,67710.6467392,3500.2,2018,58797,72.43,3.19,0.62,0.59,0,23.17,51.77,15.83,4023,8210,3453,2920,23149,3523,4251,3881,3521,8239,44497,36258,10.84,60.18,14.01,9.9
"157","60639",34,127476050.762,48103.7827213,5247.6,2018,90517,43.27,13.86,0.43,1.65,0.04,40.75,77.93,34.83,6633,14015,6589,7233,40647,6206,4866,5521,4492,8137,65944,57807,15.27,67.72,8.99,10.6
"158","60640",4,77305245.7089,48985.8713041,1843.2,2018,69715,64.27,16.96,0.5,11.03,0.03,7.21,14.26,10.31,3256,5183,1721,4535,35010,4966,4821,4142,3350,8987,60170,51183,8.97,62.32,12.89,11.7
"159","60641",6,113903341.112,42682.9829469,3518.6,2018,71023,68.23,2.41,0.35,4.64,0.06,24.32,54,20.13,4627,8595,4194,4336,31317,5112,4319,4742,4406,7905,55174,47269,12.01,62.71,11.13,9.4
"160","60642",46,47961494.4,31296.2271441,1935.5,2018,20201,72,10.34,0.1,7.18,0,10.39,20.17,7.05,999,1119,392,1344,13557,1144,655,761,644,1322,17870,16548,8.59,77.6,6.54,4.5
"161","60643",13,183013076.262,59337.8074397,2422.3,2018,49870,22.24,73.53,0.14,0.36,0.02,3.7,3.31,8.48,3134,5603,3385,3277,17324,3225,4061,4044,3326,9153,38788,29635,13.36,52.26,18.35,13.8
"162","60643",15,3136688.22496,7175.09216765,2422.3,2018,49870,22.24,73.53,0.14,0.36,0.02,3.7,3.31,8.48,3134,5603,3385,3277,17324,3225,4061,4044,3326,9153,38788,29635,13.36,52.26,18.35,13.8
